登場フロア,種類,HP,属性,攻撃力,行動ターン/復活ターン,x座標,y座標,サイズ
EndOfHeader,,,,,,,,
1,enemy,23,fire,5,3,30,110,B
1,enemy,30,fire,5,3,-30,85,B
1,ring,,,2,1,0,70,D
1,ring,,,3,1,39,25,D
1,crystal,,aqua,,3,-25,135,D
2,enemy,60,aqua,9,5,11,50,A
2,enemy,25,fire,7,4,-27,90,B
2,enemy,15,leaf,5,2,0,140,D
2,ring,,,1,1,-15,117,C
2,ring,,,1,1,-10,20,C
2,ring,,,3,1,35,95,D
2,crystal,,leaf,,3,5,83,D
3,enemy,80,leaf,9,4,0,138,A
3,enemy,30,fire,5,2,30,72,C
3,enemy,21,fire,4,2,-22,15,D
3,ring,,,3,1,35,10,D
3,ring,,,2,1,19,90,C
3,ring,,,1,1,-30,100,B
3,crystal,,fire,,3,-21,120,D
3,crystal,,aqua,,3,27,127,D
3,crystal,,aqua,,3,-35,50,D
4,boss,100,aqua,13,4,0,93,A
4,enemy,25,aqua,7,3,-11,130,D
4,enemy,25,fire,3,1,31,75,D
4,enemy,15,leaf,4,2,-5,30,D
4,ring,,,2,1,-20,20,C
4,ring,,,2,1,36,60,C
4,ring,,,4,1,6,135,D
4,crystal,,leaf,,3,22,22,D
4,crystal,,aqua,,3,-27,89,D
4,crystal,,fire,,3,9,70,D
4,fruit,,,,,-20,60,D
5,boss,150,aqua,13,4,0,78,A
5,enemy,35,fire,7,3,20,138,B
5,enemy,15,leaf,7,2,-20,100,D
5,ring,,,1,1,-30,80,B
5,ring,,,4,1,-30,130,D
5,ring,,,2,1,22,40,D
5,ring,,,2,1,12,120,D
5,crystal,,leaf,,3,20,100,D
5,crystal,,aqua,,3,-15,30,D
5,fruit,,,,,-5,120,D
